名稱,規格,單位,群組,分類,敷設,參考價,牌價,工率_最高,工率_普通,工率_最低,吋米種類,設備系統別
電氣用PVC電管,"PVC P 1/2""* 2.0 m/m",M,管材,管線材料,明管,,,0.013,0.012,0.009,,
電氣用PVC電管,"PVC P 3/4""* 2.0 m/m",M,管材,管線材料,明管,,,0.015,0.014,0.012,,
電氣用PVC電管,"PVC P 1""* 2.0 m/m",M,管材,管線材料,明管,,,0.02,0.018,0.015,,
電氣用PVC電管,"PVC P 1""* 3.0 m/m",M,管材,管線材料,明管,,,0.021,0.019,0.016,,
電氣用PVC電管,"PVC P 1 1/4""* 3.5 m/m",M,管材,管線材料,明管,,,0.028,0.025,0.021,,
電氣用PVC電管,"PVC P 1 1/2""* 3.5 m/m",M,管材,管線材料,明管,,,0.032,0.029,0.022,,
電氣用PVC電管,"PVC P 2""* 4.0 m/m",M,管材,管線材料,明管,,,0.052,0.043,0.037,,
電氣用PVC電管,"PVC P 2 1/2""* 4.5 m/m",M,管材,管線材料,明管,,,0.062,0.055,0.046,,
電氣用PVC電管,"PVC P 3""* 5.5 m/m",M,管材,管線材料,明管,,,0.076,0.068,0.058,,
電氣用PVC電管,"PVC P 4""* 7.0 m/m",M,管材,管線材料,明管,,,0.085,0.076,0.065,,
電氣用PVC電管,"PVC P 5""* 7.5 m/m",M,管材,管線材料,明管,,,0.099,0.089,0.076,,
電氣用PVC電管,"PVC P 6""* 8.5 m/m",M,管材,管線材料,明管,,,0.128,0.115,0.097,,
電氣用PVC電管,"PVC P 8""*11.0 m/m",M,管材,管線材料,明管,,,0.198,0.165,0.145,,
電氣用PVC電管,"自由軟管 4"" (鋁管)",M,管材,管線材料,明管,,,0.034,0.03,0.026,,
電氣用PVC電管,"PVC 軟管 1/2""",M,管材,管線材料,明管,,,0.017,0.015,0.012,,
電氣用PVC電管,"PVC 軟管 3/4""",M,管材,管線材料,明管,,,0.025,0.022,0.018,,
電氣用PVC電管,"PVC 軟管 1""",M,管材,管線材料,明管,,,0.034,0.03,0.025,,
電氣用PVC電管,"不銹鋼軟管 1/2""",M,管材,管線材料,明管,,,0.028,0.025,0.021,,
電氣用PVC電管,"不銹鋼軟管 3/4""",M,管材,管線材料,明管,,,0.036,0.032,0.026,,
電氣用PVC電管,"不銹鋼軟管 1""",M,管材,管線材料,明管,,,0.05,0.045,0.037,,
電氣用PVC電管,"不銹鋼軟管 1 1/4""",M,管材,管線材料,明管,,,0.065,0.058,0.048,,
電氣用PVC電管,"不銹鋼軟管 1 1/2""",M,管材,管線材料,明管,,,0.072,0.065,0.053,,
