工項碼,名稱,規格,單位,群組,分類,敷設,牌價(待填),工率_普通
PL-RT-186,ABS管,"ABS P 1 1/2""*2.5m/m",M,管材,管線材料,明管,,0.023
PL-RT-187,ABS管,"ABS P 1 1/2""*3.7m/m",M,管材,管線材料,明管,,0.028
PL-RT-184,ABS管,"ABS P 1 1/4""*2.2m/m",M,管材,管線材料,明管,,0.015
PL-RT-185,ABS管,"ABS P 1 1/4""*3.0m/m",M,管材,管線材料,明管,,0.02
PL-RT-182,ABS管,"ABS P 1""*2.0m/m",M,管材,管線材料,明管,,0.012
PL-RT-183,ABS管,"ABS P 1""*2.5m/m",M,管材,管線材料,明管,,0.013
PL-RT-180,ABS管,"ABS P 1/2""*2.0m/m",M,管材,管線材料,明管,,0.009
PL-RT-207,ABS管,"ABS P 10""* 12m/m",M,管材,管線材料,明管,,0.22
PL-RT-208,ABS管,"ABS P 10""* 18m/m",M,管材,管線材料,明管,,0.285
PL-RT-209,ABS管,"ABS P 12""* 15m/m",M,管材,管線材料,明管,,0.295
PL-RT-210,ABS管,"ABS P 12""*21.5m/m",M,管材,管線材料,明管,,0.3
PL-RT-190,ABS管,"ABS P 2 1/2""*2.5m/m",M,管材,管線材料,明管,,0.045
PL-RT-191,ABS管,"ABS P 2 1/2""*3.8m/m",M,管材,管線材料,明管,,0.048
PL-RT-192,ABS管,"ABS P 2 1/2""*5.7m/m",M,管材,管線材料,明管,,0.052
PL-RT-188,ABS管,"ABS P 2""*3.2m/m",M,管材,管線材料,明管,,0.035
PL-RT-189,ABS管,"ABS P 2""*4.8m/m",M,管材,管線材料,明管,,0.04
PL-RT-193,ABS管,"ABS P 3""*3.0m/m",M,管材,管線材料,明管,,0.051
PL-RT-194,ABS管,"ABS P 3""*4.5m/m",M,管材,管線材料,明管,,0.058
PL-RT-195,ABS管,"ABS P 3""*6.8m/m",M,管材,管線材料,明管,,0.068
PL-RT-181,ABS管,"ABS P 3/4""*2.0m/m",M,管材,管線材料,明管,,0.01
PL-RT-196,ABS管,"ABS P 4""*3.5m/m",M,管材,管線材料,明管,,0.062
PL-RT-197,ABS管,"ABS P 4""*5.5m/m",M,管材,管線材料,明管,,0.068
PL-RT-198,ABS管,"ABS P 4""*8.2m/m",M,管材,管線材料,明管,,0.076
PL-RT-199,ABS管,"ABS P 5""*4.0m/m",M,管材,管線材料,明管,,0.08
PL-RT-200,ABS管,"ABS P 5""*6.2m/m",M,管材,管線材料,明管,,0.088
PL-RT-201,ABS管,"ABS P 5""*9.3m/m",M,管材,管線材料,明管,,0.094
PL-RT-204,ABS管,"ABS P 6""* 12m/m",M,管材,管線材料,明管,,0.126
PL-RT-202,ABS管,"ABS P 6""*5.0m/m",M,管材,管線材料,明管,,0.096
PL-RT-203,ABS管,"ABS P 6""*8.0m/m",M,管材,管線材料,明管,,0.112
PL-RT-205,ABS管,"ABS P 8""* 10m/m",M,管材,管線材料,明管,,0.186
PL-RT-206,ABS管,"ABS P 8""* 15m/m",M,管材,管線材料,明管,,0.21
PL-RT-219,CD合成樹脂管,"CD管 1 1/2""",M,管材,管線材料,明管,,0.024
PL-RT-218,CD合成樹脂管,"CD管 1 1/4""",M,管材,管線材料,明管,,0.017
PL-RT-217,CD合成樹脂管,"CD管 1""",M,管材,管線材料,明管,,0.015
PL-RT-215,CD合成樹脂管,"CD管 1/2""",M,管材,管線材料,明管,,0.007
PL-RT-221,CD合成樹脂管,"CD管 2 1/2""",M,管材,管線材料,明管,,0.032
PL-RT-220,CD合成樹脂管,"CD管 2""",M,管材,管線材料,明管,,0.027
PL-RT-222,CD合成樹脂管,"CD管 3""",M,管材,管線材料,明管,,0.04
PL-RT-216,CD合成樹脂管,"CD管 3/4""",M,管材,管線材料,明管,,0.01
PL-RT-160,HDPE管,"HDPE P 1 1/2""",M,管材,管線材料,明管,,0.102
PL-RT-159,HDPE管,"HDPE P 1 1/4""",M,管材,管線材料,明管,,0.066
PL-RT-168,HDPE管,"HDPE P 10""",M,管材,管線材料,明管,,0.435
PL-RT-169,HDPE管,"HDPE P 12""",M,管材,管線材料,明管,,0.485
PL-RT-162,HDPE管,"HDPE P 2 1/2""",M,管材,管線材料,明管,,0.132
PL-RT-161,HDPE管,"HDPE P 2""",M,管材,管線材料,明管,,0.11
PL-RT-163,HDPE管,"HDPE P 3""",M,管材,管線材料,明管,,0.158
PL-RT-164,HDPE管,"HDPE P 4""",M,管材,管線材料,明管,,0.205
PL-RT-165,HDPE管,"HDPE P 5""",M,管材,管線材料,明管,,0.275
PL-RT-166,HDPE管,"HDPE P 6""",M,管材,管線材料,明管,,0.325
PL-RT-167,HDPE管,"HDPE P 8""",M,管材,管線材料,明管,,0.395
PL-RT-172,PB管,"1""",M,管材,管線材料,明管,,0.024
PL-RT-170,PB管,"1/2""",M,管材,管線材料,明管,,0.015
PL-RT-171,PB管,"3/4""",M,管材,管線材料,明管,,0.018
PL-RT-173,REHAU乙烯管,REHAU 16φ* 2.2 m/m,M,管材,管線材料,明管,,0.024
PL-RT-174,REHAU乙烯管,REHAU 20φ* 2.8 m/m,M,管材,管線材料,明管,,0.033
PL-RT-175,REHAU乙烯管,REHAU 25φ* 3.5 m/m,M,管材,管線材料,明管,,0.042
PL-RT-176,REHAU乙烯管,REHAU 32φ* 4.4 m/m,M,管材,管線材料,明管,,0.054
PL-RT-177,REHAU乙烯管,REHAU 40φ* 5.5 m/m,M,管材,管線材料,明管,,0.073
PL-RT-178,REHAU乙烯管,REHAU 50φ* 6.9 m/m,M,管材,管線材料,明管,,0.085
PL-RT-179,REHAU乙烯管,REHAU 63φ* 8.7 m/m,M,管材,管線材料,明管,,0.12
PL-RT-144,RSG鍍鋅厚鋼電導管,"1 1/2"" * 2.5 m/m",M,管材,管線材料,明管,,0.094
PL-RT-143,RSG鍍鋅厚鋼電導管,"1 1/4"" * 2.5 m/m",M,管材,管線材料,明管,,0.069
PL-RT-142,RSG鍍鋅厚鋼電導管,"1"" * 2.5 m/m",M,管材,管線材料,明管,,0.049
PL-RT-140,RSG鍍鋅厚鋼電導管,"1/2"" * 2.3 m/m",M,管材,管線材料,明管,,0.035
PL-RT-146,RSG鍍鋅厚鋼電導管,"2 1/2"" * 2.8 m/m",M,管材,管線材料,明管,,0.135
PL-RT-145,RSG鍍鋅厚鋼電導管,"2"" * 2.8 m/m",M,管材,管線材料,明管,,0.121
PL-RT-147,RSG鍍鋅厚鋼電導管,"3"" * 2.8 m/m",M,管材,管線材料,明管,,0.146
PL-RT-141,RSG鍍鋅厚鋼電導管,"3/4"" * 2.3 m/m",M,管材,管線材料,明管,,0.044
PL-RT-148,RSG鍍鋅厚鋼電導管,"4"" * 3.5 m/m",M,管材,管線材料,明管,,0.17
PL-RT-103,不銹鋼管(厚),"不銹鋼管 1 1/2"" * 3.5 m/m",M,管材,管線材料,明管,,0.083
PL-RT-102,不銹鋼管(厚),"不銹鋼管 1 1/4"" * 3.5 m/m",M,管材,管線材料,明管,,0.074
PL-RT-101,不銹鋼管(厚),"不銹鋼管 1"" * 3.0 m/m",M,管材,管線材料,明管,,0.063
PL-RT-099,不銹鋼管(厚),"不銹鋼管 1/2"" * 2.5 m/m",M,管材,管線材料,明管,,0.04
PL-RT-105,不銹鋼管(厚),"不銹鋼管 2 1/2"" * 4.0m/m",M,管材,管線材料,明管,,0.125
PL-RT-104,不銹鋼管(厚),"不銹鋼管 2"" * 3.5 m/m",M,管材,管線材料,明管,,0.104
